IPC主分类,发明名称,摘要
G11B33/04  ,一种便于安装的可拔插硬盘盒 [发明],本发明公开了一种便于安装的可拔插硬盘盒，属于硬盘盒技术领域，一种便于安装的可拔插硬盘盒，包括数据硬盘和组合式硬盘盒，组合式硬盘盒设置于数据硬盘的外侧，数据硬盘的边侧与组合式硬盘盒的内侧之间设置有数据对接组件，数据硬盘的侧面和顶端，与组合式硬盘盒之间设置有散热组件。它可以有效降低硬盘进行维护更换时的人工成本和时间成本，提高了硬盘的维护效率，同时，实现了硬盘作业时的及时散热，并避免出现硬盘过热损坏的可能，同时保证了硬盘的高效运转，且延长了宽面型数据线的伸出长度，硬盘使用时便于寻找合适的放置硬盘的位置，提高了硬盘的使用便利性。
G11B33/04  ,一种抗辐射的固态硬盘 [发明],本发明提供了一种抗辐射的固态硬盘，包括：保护壳，由第一屏蔽材料构成，所述保护壳内形成有柱状的容置腔，所述保护壳的外侧具有第一接口，所述容置腔内具有与第一接口电连接的第二接口；支撑构件，固定于所述容置腔内并沿所述容置腔的轴向设置，且在所述容置腔的径向截面上，所述支撑构件呈螺旋状分布；电路板，包括柔性基板以及集成于所述柔性基板的存储芯片，所述柔性基板上具有第三接口；所述电路板位于所述容置腔内，且所述电路板的第三接口与第二接口电连接，所述柔性基板在所述支撑构件限位下呈螺旋状盘绕。本发明通过将电路板以螺旋状盘绕设置在保护壳的柱状腔体内，使得相同存储容量的固态芯片具有较小的体积和重量。
H04L67/12  ,支持录音和记录下载分析的手持台控制系统及实现方法 [发明],本发明公开了一种支持录音和记录下载分析的手持台控制系统及实现方法，手持台控制系统包括通信手持台、手持台控制设备和手持台维护设备；手持台控制设备分别与通信手持台和手持台维护设备双向连接；手持台控制设备用于将通信手持台发送或接收的语音进行存储，记录下载时将报文数据和语音数据传输到所述手持台维护设备；手持台维护设备用于完成与手持台控制设备的数据接收和发送，并将接收的语音数据进行存储和分析。本方法不仅实现铁路通信手持台语音记录，对语音信息有效还原，从而在事故发生后对事故分析、时间溯源起到关键作用。并且提供语音记录无线下载功能，在不拆开通信手持台盖的基础上实现语音记录无线下载，便于维护。
G11B33/02  ,一种数字数据储存装置用机架结构 [发明],本发明涉及数字数据储存装置技术领域，具体涉及一种数字数据储存装置用机架结构，包括：多边形框架体、散热机构、固定机构和底座机构，所述多边形框架体的下端安装在所述底座机构上，所述散热机构安装在所述多边形框架体的上端，所述固定机构设置在所述多边形框架体内，且用于固定所述数字数据储存装置本体；本发明通过设置多边形框架体增加了存储位置，从而能够有效的增大存储效率，并通过在装置顶部设置散热机构，使得对各个数字数据储存装置本体均能够进行有效的散热，避免过热导致的工作功率的降低，最后通过设置可调节的固定结构，使得装置能够适应多种不同的数字数据储存装置本体，增加其通用性。
G11B20/10  ,MQA CD碟片播放系统及控制方法 [发明],本发明公开了一种MQA CD碟片播放系统及控制方法，所述系统包括主控模块、时钟模块、CD伺服模块、数模转换模块及输出模块；主控模块与时钟模块、CD伺服模块、数模转换模块连接；时钟模块还与CD伺服模块、数模转换模块连接；数模转换模块与输出模块连接。通过实施本实施例，时钟模块基于主控模块发送的时钟生成指令生成时钟信号，并分别发送给主控模块、CD伺服模块及数模转换模块，保证了模块之间的时钟同步；而且主控模块直接将CD伺服模块发送的PCM数字音频信号进行解码处理得到目标数字音频信号，无需在后端再增加MQA解码器，减少了使用或生产成本，减小了使用难度，进而提高了播放效率。
G11C29/50  ,基于温控技术的固态硬盘运行管理系统及方法 [发明],本发明公开了基于温控技术的固态硬盘运行管理系统及方法，涉及固态硬盘领域，解决了当前固态硬盘的故障或异常情况往往通过第三方软件代为监测，在占用计算机设备运行内存的同时，存在误报、错报或报警延迟的情况的问题，包括硬盘读取模块、容量监管模块、温度监管模块、综合管理模块和固态自检模块，所述容量监管模块用于对固态硬盘的容量使用情况进行监管，所述温度监管模块用于对固态硬盘的温度情况进行监管，所述综合管理模块用于管理固态硬盘的运行情况，所述固态自检模块用于对固态硬盘的命令响应时延进行检测，检测得到固态硬盘的综合时延等级，本发明结合温控技术实现固态硬盘的智能化运行管理。
G11B33/14  ,半导体老化检测装置 [实用新型],半导体老化检测装置，涉及检测装置技术领域，包括检测柜体，检测柜体的相对侧部以及上下端部设有相连通的空气流道夹层，检测柜体的内壁上由上到下可拆卸式安装有若干个放置台，放置台的上表面可拆卸式设有若干个测试座，放置台内部设有布气空腔，放置台的两端分别并列固接有两个水平设置的连接筒，并通过连接筒将布气空腔与空气流道夹层相连通。本实用新型解决了传统技术中的老化测试装置在使用时，需要对空间内通入冷气和热气对半导体器件进行降温或者升温，当加热完成后在通入冷气时，气流通道内易形成大量的冷凝水，加大了测试空间的湿度，影响了半导体器件老化检测稳定性的问题。
G11B7/0037  ,基于UDF文件系统的光盘缺陷管理方法及刻录方法 [发明],本发明提供基于UDF文件系统的光盘缺陷管理方法及刻录方法，其将待刻录的光盘的存储空间分为自定义存储空间、文件数据存储空间、UDF镜像存储空间；所述自定义存储空间用于存储自定义数据；所述文件数据存储空间用于存储待刻录到光盘的文件数据；所述UDF镜像存储空间用于存储UDF镜像；所述UDF镜像包括待刻录到光盘的文件信息和记录卷信息；所述文件数据为待刻录到光盘的文件本身；所述文件信息包括刻录到光盘的文件数据对应在光盘的地址信息和数据大小；所述自定义数据为除UDF镜像以外的光盘存储系统数据。该光盘缺陷管理方法及刻录方法可以实现在有缺陷区域的碟片中完成刻录任务，可以实现碟片的单盘可读，同时不需要预留碟片容量，避免空间浪费。
G11B19/20  ,用于新能源汽车的CD播放装置、播放系统及控制方法 [发明],本发明公开了一种用于新能源汽车的CD播放装置、播放系统及控制方法，其中，所述装置包括主控模块、机芯模块和无线通讯模块；所述机芯模块、所述无线通讯模块与所述主控模块连接；所述主控模块与新能源汽车内的充电座连接；所述主控模块包括主控芯片和车载连接电路，所述车载连接电路与所述充电座连接，所述车载连接电路还与所述主控芯片连接。通过实施本实施例，车载连接电路利用从充电座传输的电信号以实现CD播放装置的开机启动、切换至CD播放车载模式、与新能源汽车的音响设备建立无线通讯连接、机芯模块获取并发送音频数据至音响设备以进行音频播放的自动化过程，因此，在驾驶汽车时，减少事故发生的可能性，进而提高了驾驶安全性。
G11B33/14  ,一种具有保护功能的硬盘存储设备 [发明],本发明提供了一种具有保护功能的硬盘存储设备。一种具有保护功能的硬盘存储设备，包括有放置柜、硬盘和连接片；放置柜上设置有若干个硬盘；每个硬盘上各安装有若干个连接片。本发明通过随着气囊中空气的继续膨胀，空气将通过导气管进入到腔体中，使得空气将迫使壳体向后移动，此过程中，由于放置柜内的插口处对壳体的限位，因此随着壳体的后移，硬盘将会向前移动，进而使连接片从放置柜内的插口中退出，使得过热的硬盘与放置柜断开连接，以此对过热的硬盘达到一个保护的作用，从而避免了过热的硬盘若继续使用的话，将影响硬盘的性能和可靠性，并且还将加速硬盘的老化过程、增加数据丢失的风险等问题。
A61B6/03  ,一种CT成像系统和CT成像方法 [发明],本申请涉及一种CT成像系统、CT成像方法及计算机设备。系统包括成像设备和管理设备；管理设备上设置有本地存储装置，并设置有移动存储装置接口；移动存储装置接口用于将移动存储装置安装于管理设备上；管理设备，用于获取成像设备采集的影像数据，并将影像数据存储至目标存储单元中；目标存储单元为本地存储装置和/或移动存储装置。CT成像系统能够直接将成像设备采集的影像数据存储至目标存储单元中，无需对数据频繁进行先导出删除、再导入还原这种耗时的操作，就能够在临床前将影像数据存储至本地存储装置和/或移动存储装置中，能够提高在临床前对能谱CT数据的管理效率。
G11B7/09  ,一种光存储材料形变的光学自由曲面透镜变焦补偿方法及装置 [发明],本发明是一种光存储材料形变的光学自由曲面透镜变焦补偿方法及装置，信息光及参考光可经过光学自由曲面透镜，在记录介质所形成的记录光栅，形变传感器可以监测到记录介质的形变，并反馈至透镜调整台及控制光学自由曲面透镜镜片做出空间位置的移动，来实现对记录介质形变的补偿；本发明的优点和使用效果：可实时实现对记录介质皱缩、膨胀、形变时的补偿，并发挥光学自由曲面设计自由度高、使系统轻型小型化。
G06F3/16  ,音频处理方法、装置、存储介质及电子设备 [发明],本发明提供一种音频处理方法、装置、存储介质及电子设备，其中，该方法包括：在检测到针对第一应用程序的音频录制启动指令时，确定第一应用程序的第一音频源类型；基于第一音频源类型，确定第一音频获取函数；调用第一音频获取函数，获取第一音频源类型下的第一音频数据；将第一音频数据发送至第一应用程序，以实现第一应用程序对目标音频输入设备的数据捕获；其中，目标音频输入设备在第一应用程序的数据捕获下，支持第二应用程序的同时数据捕获，第二音频源类型与第一音频源类型不同。本发明实施例可在无需应用程序额外适配兼容对同一音频输入设备的同时数据捕获功能的情况下，便捷地实现不同应用程序对同一音频输入设备的同时数据捕获。
G11B17/056  ,一种光存储用多功能光驱装置 [发明],本发明公开了一种光存储用多功能光驱装置，包括：光驱底座，光驱底座内设有托盘支撑、滑动模块、电机、齿轮和托盘；当需要托盘弹出时：电机驱动齿轮转动并通过齿轮驱动托盘支撑在光驱底座内沿X轴方向运动；当托盘支撑沿X轴方向运动时，托盘支撑能够驱动滑动模块沿Y轴方向运动；待托盘支撑沿X轴方向运动第一设定长度时，托盘支撑与齿轮分离且滑动模块与齿轮啮合，齿轮能够驱动滑动模块继续沿Y轴方向运动；待滑动模块沿Y轴方向继续运动第二设定长度时，滑动模块与齿轮分离且托盘与齿轮啮合；当需要托盘收回时：电机驱动齿轮反转，逆向进行需要托盘弹出的过程。在不增加光驱尺寸且不影响系统性能的前提下，克服光驱托盘形变的问题。
