IPC主分类,发明名称,摘要
G06F30/28  ,基于宾汉浆液自重与角度的柱形渗透注浆范围确定方法 [发明],本发明涉及环境保护与生态修复技术领域，尤其是基于宾汉浆液自重与角度的柱形渗透注浆范围确定方法。本发明所提供的渗透注浆范围确定方法，包括如下步骤：获取待注浆的多孔介质的第一数据；获取注浆点的第二数据；获取待注入多孔介质的宾汉水泥浆液的第三数据；设置注浆工程参数；构建柱形渗透注浆范围确定模型；利用柱形渗透注浆范围确定模型结合第一数据、第二数据以及第三数据，获得多孔介质在基于注浆工程参数的注浆工程下的柱形渗透注浆空间扩散范围量化指标。本发明综合考虑了宾汉浆液自重与注浆管铺设角度对多孔介质渗透注浆空间扩散形态的影响，利用所述渗透注浆范围确定方法能够精准确定宾汉浆液在多孔介质中的柱形渗透注浆扩散范围。
B01D53/34  ,一种高纯次磷酸钠制备方法及设备 [发明],本申请涉及次磷酸钠制备领域，提出了一种高纯次磷酸钠制备方法及设备，包括：将泥磷、水、碱分别加入到反应釜中制取次磷酸钠粗产品溶液，将初始反应产生的尾气经过缓冲瓶收集，经吸附柱水浴加热进行吸附，然后用过量的溴化硝酸吸收液对解吸后的尾气进行吸收，根据尾气处理过程中水浴温度以及磷酸根离子浓度的变化调控溴化硝酸吸收液浓度；将次磷酸钠粗产品溶液、氢氧化钙、硫酸亚铁置于反应器中振荡反应，加入絮凝剂后蒸馏浓缩，随后进行重结晶分离得到次磷酸钠溶液；将对次磷酸钠溶液进行重结晶及过滤分离制取高纯次磷酸钠。本申请通过调控溴化硝酸吸收液浓度，提高了溴化硝酸吸收液的尾气处理效果。
G06F30/28  ,基于宾汉浆液自重与角度的柱半球渗透注浆范围确定方法 [发明],本发明涉及环境保护与生态修复技术领域，尤其是基于宾汉浆液自重与角度的柱半球渗透注浆范围确定方法。本发明所提供的渗透注浆范围确定方法包括如下步骤：获取待注浆的多孔介质的第一数据；获取注浆点的第二数据；获取待注入多孔介质的宾汉水泥浆液的第三数据；设置注浆工程参数；构建柱半球形渗透注浆范围确定模型；利用柱半球形渗透注浆范围确定模型结合第一数据、第二数据以及第三数据，获得多孔介质在基于注浆工程参数的注浆工程下的柱半球形渗透注浆空间扩散范围量化指标。本发明综合考虑了宾汉浆液自重与注浆管铺设角度对多孔介质的柱半球形渗透注浆空间扩散形态的影响，能够精准确定宾汉浆液在多孔介质中的柱半球形渗透注浆扩散范围。
G01N21/39  ,一种基于多传感器数据融合的甲烷气体泄漏检测方法 [发明],本发明公开了一种基于多传感器数据融合的甲烷气体泄漏检测方法，将激光甲烷检测传感器数据、可见光视频监控数据、红外测温传感器数据、红外视频监控数据等不同维度、不同模式、不同表达形式的各种信息进行集中融合处理与分析，降低了信息的模糊度，增强了系统的可靠性和稳定性。
A23L33/105  ,一种解酒组合物的制备方法 [发明],本发明涉及饮用组合物制备技术领域，尤其涉及一种解酒组合物的制备方法，包括，步骤S1，原料预处理；步骤S2，颗粒粉碎处理；步骤S3，冲泡测试；步骤S4，曲线判定；步骤S5，曲线合并；步骤S6，包装。本发明通过对解酒组合物中的若干种主料成分进行多级粉碎与筛分，以制得不同粒径配比不同的原料颗粒，实现在冲泡解酒组合物的后期也能有较高的萃取率，不但由于粒径较小的原料颗粒更容易渗透，使快速达到萃取率高的主料冲泡，且随着时间的增长，基于粒径逐级递增分布，使有效成分的释放减缓程度分级，根据冲泡测试的测试结果，适应性调控等级数、粒径以及不同粒径的配比，以实现对有效成分的控释，且增加释放的持续性与稳定性。
G06N10/20  ,量子系统的基态获取方法、装置、存储介质和电子设备 [发明],本申请实施例提供了一种量子系统的基态获取方法、装置、存储介质和电子设备，其中，该方法包括：在通过量子控制模块执行变分量子线路求解量子系统基态的过程中，通过测量模块测量哈密顿量在参考量子态下的能量参数；在能量参数不满足收敛条件的情况下，通过测量模块测量量子系统在参考量子态下的目标态信息，其中，目标态信息是参考量子态所具有的能够表达量子系统的基态性质的信息；根据目标态信息更新量子控制模块所使用的参考初始态，直至检测出能量参数满足收敛条件，得到量子控制模块输出的输出态；根据输出态获取量子系统的基态。通过本申请，解决了量子计算系统获取基态的效率较低的问题，达到了提高量子计算系统获取基态的效率的效果。
G06F30/23  ,一种塔型井架承载力测定方法、系统及设备 [发明],本发明公开了一种塔型井架承载力测定方法、系统及设备，涉及海洋平台结构与装备安全评定技术领域，包括：获取塔型井架主体参数；根据主体参数建立结构性能数据库和几何截面参数数据库，构建初始有限元模型；利用振动传感器优化布置原理构建振动测试模型；通过初始有限元模型分析塔型井架危险位置并布置应变传感器，构建应变测试模型；匹配初始有限元模型和振动测试模型获得模态参数，利用模态参数对有限元模型修正，构建多尺度模型，匹配多尺度模型与应变测试模型获得实测应变值，利用实测应变值对有限元多尺度模型修正，构建数字孪生模型；对数字孪生模型进行塔型井架承载能力仿真试验，测定承载能力。本发明能够准确测得海洋塔型井架承载力。
G16C20/20  ,一种应用特征碎片及特征碎片组辅助非靶向筛查的方法 [发明],本发明公开一种应用特征碎片及特征碎片组辅助非靶向筛查的方法，涉及有机污染物筛查技术领域，该方法包括：获取样品包含的化合物的初步鉴定结果；初步鉴定结果是应用气相色谱高分辨质谱对样品进行扫描，将解卷积之后的峰与NIST谱库匹配以后得到的；从初步鉴定结果中选择满足预设匹配条件且含有特征碎片或特征碎片组的化合物，得到多个初始化合物；特征碎片和特征碎片组是联合使用化学信息数据库和NIST谱库从目标大类化合物提取的；从多个初始化合物中选取综合得分最高的初始化合物作为样品的筛查结果。本发明能够提高非靶向筛查结果的准确度。
G16C60/00  ,基于相关性分析的育种数据预测方法 [发明],本发明涉及植物育种技术领域，具体涉及基于相关性分析的育种数据预测方法。方法包括：获取材料清单集合和剩余材料清单集合；对材料清单集合中的每个材料清单进行育种筛选，得到目标材料清单集合；若目标材料清单集合中的每个材料清单对应的育种性状特征值均不符合预设的目标育种性状特征值要求，则根据目标材料清单集合中的各个材料清单对应的育种性状特征值之间的相关性，在剩余材料清单集合中获取第一材料清单集合；并继续对第一材料清单集合中的每个第一材料清单进行育种并筛选，直至第一目标材料清单集合中的任一第一材料清单对应的育种性状特征值符合预设的目标育种性状特征值要求时停止。本发明能够提高育种实验的效率。
G06F18/27  ,一种基于GA-LSTM高光谱定量反演的布料成分分析方法及系统 [发明],本发明公开了一种基于GA‑LSTM高光谱定量反演的布料成分分析方法及系统，涉及检测技术领域，包括：接收样本布料光谱数据，对样本布料光谱数据进行预处理，得到样本数据，将样本数据进行分类得到训练集和测试集；将训练集和测试集输入至预先建立的长短期记忆神经网络LSTM的布料成分分析回归模型内，输出得到一次训练LSTM的布料成分分析回归模型；优化一次训练LSTM的布料成分分析回归模型的学习率，将优化后的学习率输入至一次训练LSTM的布料成分分析回归模型内，输出得到二次训练LSTM的布料成分分析回归模型；将待测布料的融合后的光谱数据输入至二次训练LSTM的布料成分分析回归模型内，得到布料成分分析结果。
